soil_type,season,location,recommended_crop,benefits,fertilizer
Clayey,Zaid,Kerala,Vegetables,Short-season vegetables,"Urea, Compost"
Sandy,Kharif,Kerala,Coconut,Coastal belts support coconuts,"Organic manure"
Sandy,Rabi,Kerala,Watermelon,Porous soil supports melons,"Potash"
Sandy,Zaid,Kerala,Sunflower,Short oilseed option,"DAP, Potash"

# Madhya Pradesh (Black / Alluvial / Red / Loamy)
Black,Kharif,Madhya Pradesh,Soybean,Excellent in regur-like patches,"Nitrogen, SSP"
Black,Rabi,Madhya Pradesh,Wheat,Good post-cotton rabi yields,"Urea, Potash"
Black,Zaid,Madhya Pradesh,Maize,Quick-yield summer crop,"NPK"
Alluvial,Kharif,Madhya Pradesh,Rice,Valley paddy production,"Urea, DAP"
Alluvial,Rabi,Madhya Pradesh,Vegetables,Good for irrigated fields,"Compost, NPK"
Alluvial,Zaid,Madhya Pradesh,Maize,Short-season maize,"NPK"
Red,Kharif,Madhya Pradesh,Millets,Drought resistant cereals,"Organic manure"
Red,Rabi,Madhya Pradesh,Pulses,Legumes for soil health,"Phosphate"
Red,Zaid,Madhya Pradesh,Vegetables,Local summer vegetables,"Compost"
Loamy,Kharif,Madhya Pradesh,Maize,High biomass in loamy areas,"NPK"
Loamy,Rabi,Madhya Pradesh,Gram,Good pulse yields,"SSP"
Loamy,Zaid,Madhya Pradesh,Vegetables,Short-season crops,"Compost"

# Maharashtra (Black / Laterite / Clayey / Sandy / Red)
Black,Kharif,Maharashtra,Cotton,Core regur crop in Vidarbha & Marathwada,"NPK"
Black,Rabi,Maharashtra,Wheat,After kharif cotton or soybean,"Urea"
Black,Zaid,Maharashtra,Maize,Fast-growing summer crop,"NPK"
Laterite,Kharif,Maharashtra,Millets,Drought resistant local cereals,"Organic manure"
Laterite,Rabi,Maharashtra,Groundnut,Soil-improving oilseed,"Gypsum"
Laterite,Zaid,Maharashtra,Vegetables,Smallholder markets,"Compost"
Clayey,Kharif,Maharashtra,Soybean,Moisture-retaining zones,"SSP"
Clayey,Rabi,Maharashtra,Gram,Good pulse yields,"Phosphate"
Clayey,Zaid,Maharashtra,Vegetables,Short-season crops,"Urea"
Sandy,Kharif,Maharashtra,Bajra,Drought-tolerant millet,"NPK"
Sandy,Rabi,Maharashtra,Mustard,Oilseed in drier tracts,"Sulphur"
Sandy,Zaid,Maharashtra,Watermelon,Porous soils for melons,"Potash"
Red,Kharif,Maharashtra,Groundnut,Red soils produce oilseed,"Gypsum"
Red,Rabi,Maharashtra,Pulses,Legume cropping for soil health,"Phosphate"
Red,Zaid,Maharashtra,Vegetables,Short cycles,"Compost"

# Manipur (Alluvial / Red)
Alluvial,Kharif,Manipur,Rice,Valley paddy production,"Urea, DAP"
Alluvial,Rabi,Manipur,Vegetables,Market gardening in valleys,"Compost"
Alluvial,Zaid,Manipur,Maize,Short summer cereal,"NPK"
Red,Kharif,Manipur,Millets,Resilient upland crop,"Organic manure"
Red,Rabi,Manipur,Pulses,Local legume cropping,"Phosphate"
Red,Zaid,Manipur,Vegetables,Smallholder summer vegetables,"Compost"

# Meghalaya (Laterite / Hill / Red)
Laterite,Kharif,Meghalaya,Areca nut/Betel nut,Perennial plantation in lateritic zones,"Organic manure"
Laterite,Rabi,Meghalaya,Vegetables,High rainfall veggies,"Compost"
Laterite,Zaid,Meghalaya,Millets,Smallholder cereals,"Organic manure"
Hill/Forest,Kharif,Meghalaya,Maize,Terraced/hill maize cropping,"Compost"
Hill/Forest,Rabi,Meghalaya,Tuber crops,Root crops on slopes,"Organic matter"
Hill/Forest,Zaid,Meghalaya,Vegetables,High-value hill veg,"NPK"
Red,Kharif,Meghalaya,Millets,Red-soil upland cereals,"Organic manure"
Red,Rabi,Meghalaya,Pulses,Legumes for soil improvement,"Phosphate"
Red,Zaid,Meghalaya,Vegetables,Local crops,"Compost"

# Mizoram (Laterite / Hill)
Laterite,Kharif,Mizoram,Arecanut/Vegetables,Perennial & upland cropping,"Organic manure"
Laterite,Rabi,Mizoram,Millets,Local cereals for uplands,"Organic manure"
Laterite,Zaid,Mizoram,Vegetables,Short-season hill vegetables,"Compost"
Hill/Forest,Kharif,Mizoram,Maize,Adapted to sloping land,"Compost"
Hill/Forest,Rabi,Mizoram,Root crops,Tubers for local consumption,"Organic matter"
Hill/Forest,Zaid,Mizoram,Vegetables,Smallholder market crops,"NPK"

# Nagaland (Red / Alluvial / Hill)
Red,Kharif,Nagaland,Millets,Upland shifting cultivation crops,"Organic manure"
Red,Rabi,Nagaland,Pulses,Legume rotations for soil health,"Phosphate"
Red,Zaid,Nagaland,Vegetables,Local summer crops,"Compost"
Alluvial,Kharif,Nagaland,Rice,Valley paddy cultivation,"Urea"
Alluvial,Rabi,Nagaland,Vegetables,Market gardens,"Compost"
Alluvial,Zaid,Nagaland,Maize,Short summer cereal,"NPK"
Hill/Forest,Kharif,Nagaland,Maize/Hill crops,Slope-adapted crops,"Compost"
Hill/Forest,Rabi,Nagaland,Millets,Low-input cereals,"Organic manure"
Hill/Forest,Zaid,Nagaland,Vegetables,Short-season hill veg,"NPK"

# Odisha (Alluvial / Laterite / Red)
Alluvial,Kharif,Odisha,Rice,Delta and coastal paddy,"Urea, DAP"
Alluvial,Rabi,Odisha,Vegetables,High fertility plains,"Compost"
Alluvial,Zaid,Odisha,Maize,Short-season crop,"NPK"
Laterite,Kharif,Odisha,Millets,Adapted to uplands,"Organic manure"
Laterite,Rabi,Odisha,Groundnut,N-fixing benefits,"Gypsum"
Laterite,Zaid,Odisha,Vegetables,Short-season upland veg,"Compost"
Red,Kharif,Odisha,Millets,Drought-resilient cereals,"Organic manure"
Red,Rabi,Odisha,Pulses,Legume rotations,"Phosphate"
Red,Zaid,Odisha,Vegetables,Local summer crops,"Compost"

# Punjab (Alluvial)
Alluvial,Kharif,Punjab,Rice,Extensive irrigated paddy,"Urea, DAP"
Alluvial,Rabi,Punjab,Wheat,Major high-yield rabi crop,"NPK complex"
Alluvial,Zaid,Punjab,Maize,Short summer cereal,"Urea, NPK"

# Rajasthan (Sandy / Loamy / Arid)
Sandy,Kharif,Rajasthan,Bajra/Drought millets,Highly drought tolerant,"Compost, NPK"
Sandy,Rabi,Rajasthan,Mustard,Oilseed in arid tracts,"Phosphorus, Sulphur"
Sandy,Zaid,Rajasthan,Moong dal,Short-duration pulse for summer,"Compost"
Loamy,Kharif,Rajasthan,Groundnut,Growing in loamy pockets,"Gypsum"
Loamy,Rabi,Rajasthan,Wheat,Irrigated loamy rabi yields,"DAP"
Loamy,Zaid,Rajasthan,Vegetables,Short-season summer veg in loam,"Organic manure"
Arid,Kharif,Rajasthan,Millets,Extremely drought-tolerant cereals,"Organic manure"
Arid,Rabi,Rajasthan,Barley/Gram,Hardy rabi options,"Phosphate"
Arid,Zaid,Rajasthan,Sesamum,Short oilseed in arid pockets,"Compost"

# Sikkim (Hill/Mountain / Alluvial in valleys)
Hill/Forest,Kharif,Sikkim,Cardamom/Tea,Shade-loving plantation crops,"Organic manure"
Hill/Forest,Rabi,Sikkim,Millets,Terrace-friendly cereals,"Organic matter"
Hill/Forest,Zaid,Sikkim,Vegetables,High-value hill vegetables,"Compost, NPK"
Alluvial,Kharif,Sikkim,Rice,Valley paddy cultivation,"Urea"
Alluvial,Rabi,Sikkim,Vegetables,Valley vegetable gardens,"Compost"
Alluvial,Zaid,Sikkim,Maize,Short crop in valleys,"NPK"

# Tamil Nadu (Alluvial / Loamy / Sandy / Clayey / Red)
Alluvial,Kharif,Tamil Nadu,Rice,Major delta and irrigated paddy,"Urea, DAP"
Alluvial,Rabi,Tamil Nadu,Vegetables,High fertility for horticulture,"Compost"
Alluvial,Zaid,Tamil Nadu,Maize,Short-season crop,"NPK"
Loamy,Kharif,Tamil Nadu,Sugarcane,Long-duration irrigated crop,"Organic manure"
Loamy,Rabi,Tamil Nadu,Groundnut,N-fixing oilseed,"Gypsum"
Loamy,Zaid,Tamil Nadu,Watermelon,Light-soil summer crop,"Potash"
Sandy,Kharif,Tamil Nadu,Bajra/Coarse cereals,Heat-tolerant cereals,"NPK"
Sandy,Rabi,Tamil Nadu,Sunflower,Short-duration oilseed,"DAP"
Sandy,Zaid,Tamil Nadu,Vegetables,Summer vegetables in sandy tracts,"Compost"
Clayey,Kharif,Tamil Nadu,Rice,Good retention for paddy,"Urea"
Clayey,Rabi,Tamil Nadu,Onion,Prefers cool season in clay,"NPK mix"
Clayey,Zaid,Tamil Nadu,Vegetables,Short-season veg,"Urea"
Red,Kharif,Tamil Nadu,Groundnut,Red soil oilseed,"Gypsum"
Red,Rabi,Tamil Nadu,Pulses,Legume rotations,"Phosphate"
Red,Zaid,Tamil Nadu,Vegetables,Short crops,"Compost"

# Telangana (Black / Red / Alluvial / Loamy)
Black,Kharif,Telangana,Cotton,Major crop in black pockets,"NPK"
Black,Rabi,Telangana,Chickpea,Dryland pulse crop,"Phosphate"
Black,Zaid,Telangana,Maize,Quick summer cereal,"NPK complex"
Red,Kharif,Telangana,Millets,Dryland cereals,"Organic manure"
Red,Rabi,Telangana,Groundnut,N-fixing benefits,"Gypsum"
Red,Zaid,Telangana,Vegetables,Short-season crops,"Compost"
Alluvial,Kharif,Telangana,Rice,Paddy in irrigated valleys,"Urea"
Alluvial,Rabi,Telangana,Wheat,Limited irrigated rabi,"DAP"
Alluvial,Zaid,Telangana,Maize,Short-season maize,"NPK"
Loamy,Kharif,Telangana,Soybean,Good yields in loamy pockets,"SSP"
Loamy,Rabi,Telangana,Onion,Loose soil favors onion,"Potash"
Loamy,Zaid,Telangana,Watermelon,Excellent summer crop,"Compost"

# Tripura (Alluvial / Red)
Alluvial,Kharif,Tripura,Rice,Valley paddy cultivation,"Urea, DAP"
Alluvial,Rabi,Tripura,Vegetables,Good for horticulture in plains,"Compost"
Alluvial,Zaid,Tripura,Maize,Short-season maize,"NPK"
Red,Kharif,Tripura,Millets,Upland cereals,"Organic manure"
Red,Rabi,Tripura,Pulses,Local legume cropping,"Phosphate"
Red,Zaid,Tripura,Vegetables,Smallholder veg plots,"Compost"

# Uttar Pradesh (Alluvial)
Alluvial,Kharif,UP,Rice,Extensive irrigated paddy in plains,"Urea, DAP"
Alluvial,Rabi,UP,Wheat,Primary rabi cereal,"NPK complex"
Alluvial,Zaid,UP,Maize,Short-season crop,"Compost, Urea"

# Uttarakhand (Hill/Mountain / Alluvial Terai)
Hill/Forest,Kharif,Uttarakhand,Maize/Tuber crops,Terrace and hill cropping,"Compost"
Hill/Forest,Rabi,Uttarakhand,Millets,Low-input cereals in uplands,"Organic manure"
Hill/Forest,Zaid,Uttarakhand,Vegetables,High-value hill vegetables,"NPK"
Alluvial,Kharif,Uttarakhand,Rice,Terai paddy production,"Urea"
Alluvial,Rabi,Uttarakhand,Wheat,Valley rabi cereal,"NPK"
Alluvial,Zaid,Uttarakhand,Maize,Short-season maize,"Urea"

# West Bengal (Alluvial / Laterite / Clayey / Loamy)
Alluvial,Kharif,West Bengal,Rice,Deltaic and alluvial paddy lands,"Urea, Potash"
Alluvial,Rabi,West Bengal,Jute,Ideal for humid delta soils,"Compost, DAP"
Alluvial,Zaid,West Bengal,Maize,Short summer crop,"NPK"
Laterite,Kharif,West Bengal,Millets,Medium rainfall uplands,"Organic manure"
Laterite,Rabi,West Bengal,Groundnut,N-fixing benefits,"SSP"
Laterite,Zaid,West Bengal,Vegetables,Short-season crops,"Compost"
Clayey,Kharif,West Bengal,Banana,Moisture-retaining soils for banana,"Organic manure"
Clayey,Rabi,West Bengal,Potato,High-yield tuber crops,"Potash"
Clayey,Zaid,West Bengal,Vegetables,Quick-turn vegetables,"Urea"
Loamy,Kharif,West Bengal,Maize,High adaptability for loam,"NPK"
Loamy,Rabi,West Bengal,Wheat,Rabi staple in loamy tracts,"DAP"
Loamy,Zaid,West Bengal,Melon,Light-soil summer crops,"Potash"
